Personnel_ID,Unit,Age,Experience_Years,Training_Type,Training_Score,Mission_Success_Rate,Fatigue_Level,Attendance_Rate
P1052,Delta,21,10,Combat,86.79,62.96,1,100.0
P1053,Charlie,28,3,Combat,68.22,73.28,5,86.12
P1054,Charlie,24,10,Leadership,70.5,79.34,9,79.05
P1055,Alpha,21,3,Tech,80.35,87.69,6,90.54
P1056,Alpha,34,15,Leadership,80.94,88.19,3,91.87
P1057,Alpha,38,2,Combat,83.03,73.0,8,72.63
P1058,Alpha,23,10,Combat,74.85,81.95,4,93.07
P1059,Alpha,38,15,Tactics,74.67,53.48,8,93.9
P1060,Alpha,38,19,Tactics,69.97,85.68,10,89.14
P1061,Bravo,28,15,Tactics,64.65,59.5,1,91.71
P1062,Bravo,34,15,Combat,72.25,35.47,10,91.54
P1063,Alpha,22,15,Leadership,90.97,77.08,2,95.21
P1064,Alpha,24,10,Combat,86.9,73.35,6,83.81
P1065,Alpha,32,18,Combat,71.49,71.16,2,83.11
P1066,Charlie,24,6,Tehc,77.26,82.6,8,73.37
P1067,Delta,35,4,Tech,74.79,81.96,6,91.16
P1068,Delta,21,15,Tech,57.54,100.0,5,85.48
P1069,Echo,33,6,Tactics,64.98,52.91,4,92.14
P1070,Charlie,24,10,Tech,68.98,81.4,5,100.0
P1071,Bravo,37,14,Combat,68.96,62.37,1,80.07
P1072,Delta,28,5,Tech,70.12,63.51,5,85.41
P1073,Echo,37,8,Leadership,68.19,96.59,3,86.81
P1074,Alpha,36,1,Combat,81.87,34.91,5,91.88
P1075,Charlie,39,15,Tactics,82.71,69.81,7,98.44
P1076,Bravo,42,1,Combat,75.72,62.84,10,100.0
P1077,Alpha,39,15,Tech,74.61,63.34,4,93.02
P1078,Alpha,23,11,Leadership,86.82,75.37,10,80.58
P1079,alphaa,27,18,Tech,68.2,66.96,4,90.38
P1080,Alpha,36,9,Leadership,90.93,62.33,8,87.37
P1081,Echo,41,19,Leadership,70.3,44.61,9,100.0
P1082,Echo,22,11,Tactics,,82.11,2,91.29
P1083,Bravo,39,6,Leadership,,59.23,10,97.25
P1084,Bravo,36,8,Tech,100.0,70.89,7,100.0
P1085,Bravo,35,8,Combat,71.7,45.24,3,95.61
P1086,Alpha,25,19,Leadership,71.57,,7,88.8
P1087,Echo,37,7,Leadership,80.28,68.66,7,90.24
P1088,Echo,44,15,Combat,84.63,72.59,8,88.08
P1089,Delta,24,14,Tech,71.25,78.9,7,87.52
P1090,Charlie,38,4,Leadership,88.67,84.37,1,85.82
P1091,Bravo,24,5,Combat,85.49,88.7,2,72.64
P1092,Echo,36,10,Tech,,70.58,7,87.31
P1093,Charlie,26,9,Tech,88.46,72.56,4,88.53
P1094,Bravo,25,18,Combat,88.47,,9,93.27
P1095,Delta,40,6,Tactics,57.97,56.4,9,96.76
P1096,Alpha,33,2,Tactics,80.18,59.11,3,91.18
P1097,Charlie,26,8,Tech,72.77,55.76,8,100.0
P1098,Delta,39,19,Tactics,69.24,71.83,2,86.16
P1099,Delta,27,10,Leadership,97.98,58.05,2,89.39
P1100,Delta,38,5,Tech,61.81,66.61,8,95.53
P1101,Bravo,37,12,Leadership,87.86,76.44,7,91.66
P1102,Echo,26,9,Tech,73.07,67.69,7,95.26
P1103,Echo,33,3,Tactics,82.92,57.16,3,100.0
P1104,Alpha,34,17,Leadership,95.42,77.28,2,68.82
P1105,Echo,42,13,Tehc,82.3,80.7,3,90.38
P1106,Delta,40,12,Combat,84.2,74.71,9,86.44
P1107,alphaa,33,18,Combat,89.53,54.94,9,83.86
P1108,Bravo,44,4,Tactics,84.84,66.79,8,100.0
P1109,Bravo,41,19,Tehc,68.36,46.45,2,90.59
P1110,Charlie,24,5,Leadership,62.51,78.57,9,87.01
P1111,Bravo,25,13,Combat,63.26,73.04,9,77.87
P1112,Alpha,28,3,Tehc,80.43,86.25,5,82.75
P1113,Bravo,37,6,Leadership,84.75,83.61,3,90.29
P1114,Delta,25,19,Leadership,71.22,78.2,9,80.65
P1115,Charlie,24,11,Tactics,,69.38,7,94.45
P1116,alphaa,37,4,Tactics,90.67,75.15,7,95.22
P1117,Delta,35,6,Tactics,56.07,87.8,5,88.11
P1118,Charlie,36,12,Tech,76.33,59.5,1,85.31
P1119,Alpha,20,6,Tactics,,87.05,10,86.34
P1120,Bravo,22,13,Tech,75.89,87.49,4,93.71
P1121,Delta,43,15,Tactics,80.78,97.7,6,81.44
P1122,Alpha,25,15,Combat,67.2,79.6,1,79.99
P1123,Bravo,36,8,Leadership,,78.55,4,93.58
P1124,Alpha,22,14,Tech,91.38,92.52,4,79.13
P1125,Bravo,43,8,Combat,71.84,63.31,8,74.88
P1126,Alpha,25,11,Leadership,82.86,76.38,6,92.06
P1127,Echo,34,16,Tehc,79.69,47.91,1,89.28
P1128,Delta,20,9,Tech,72.31,68.71,4,78.92
P1129,Delta,29,12,Tactics,63.93,74.13,3,83.61
P1130,Charlie,28,18,Leadership,87.65,78.39,7,95.21
P1131,Alpha,29,14,Tactics,94.77,60.23,3,86.13
P1132,Charlie,42,19,Combat,61.89,87.98,8,90.3
P1133,Charlie,20,7,Leadership,76.2,86.37,10,89.11
P1134,Charlie,39,18,Tech,77.24,85.71,4,89.34
P1135,Echo,38,19,Leadership,71.27,56.68,3,79.1
P1136,Bravo,27,4,Tech,78.24,65.63,9,94.35
P1137,Bravo,25,17,Tehc,71.29,75.61,2,89.31
P1138,Bravo,23,13,Leadership,67.33,58.6,10,73.24
P1139,Delta,20,11,Leadership,77.54,82.71,5,99.78
P1140,Echo,25,12,Combat,69.84,70.66,2,87.43
P1141,Charlie,24,1,Leadership,70.49,,10,90.07
P1142,alphaa,44,18,Combat,75.68,76.0,8,73.19
P1143,Echo,35,18,Tech,100.0,79.19,2,81.57
P1144,Delta,34,15,Combat,83.7,77.44,10,89.18
P1145,Echo,27,14,Combat,74.73,72.71,5,96.01
P1146,Echo,25,9,Combat,71.65,73.09,9,92.42
P1147,alphaa,32,9,Combat,67.15,81.85,1,86.87
P1148,Delta,31,7,Tehc,54.8,86.07,9,98.51
P1149,Delta,33,10,Tactics,97.46,,5,100.0
P1150,Delta,44,12,Leadership,75.9,,4,100.0
P1151,Echo,42,11,Tactics,80.64,66.21,3,93.14
P1152,Delta,23,16,Tactics,95.49,74.17,3,83.37
P1153,Bravo,30,7,Tech,76.63,55.46,7,94.41
P1154,Charlie,39,4,Tactics,79.77,35.85,7,91.98
P1155,Charlie,44,10,Combat,97.5,65.87,10,96.01
P1156,Bravo,26,10,Combat,80.87,80.22,10,100.0
P1157,Bravo,36,16,Tactics,62.62,54.05,7,84.08
P1158,Alpha,44,2,Leadership,81.67,46.76,2,78.52
P1159,Charlie,38,4,Combat,55.87,78.53,7,100.0
P1160,Charlie,28,8,Tactics,60.63,51.67,7,90.27
P1161,Charlie,25,8,Combat,67.3,76.94,10,100.0
P1162,Charlie,36,3,Combat,72.4,95.9,8,83.4
P1163,Echo,29,16,Leadership,76.61,69.7,7,93.07
P1164,Echo,31,1,Leadership,75.75,88.41,6,96.51
P1165,Echo,33,4,Leadership,68.14,53.94,2,82.88
P1166,Delta,22,4,Tactics,78.65,91.03,5,90.21
P1167,alphaa,29,14,Tactics,50.31,78.53,4,94.8
P1168,Echo,22,18,Leadership,75.87,78.2,10,88.2
P1169,Delta,41,14,Tactics,76.98,70.16,9,79.51
P1170,Echo,23,15,Combat,75.57,77.95,4,82.49
P1171,Charlie,38,19,Tech,73.56,50.03,9,92.23
P1172,Alpha,28,19,Leadership,67.91,82.82,7,86.89
P1173,Bravo,39,4,Combat,76.7,31.69,5,97.47
P1174,Delta,41,14,Tehc,70.94,52.57,5,89.76
P1175,Bravo,43,7,Leadership,73.26,47.01,10,98.26
P1176,Echo,23,17,Tech,76.2,55.4,5,80.46
P1177,Charlie,39,6,Tech,74.6,77.42,1,89.07
P1178,Alpha,35,1,Combat,74.12,83.82,7,95.94
P1179,Alpha,38,5,Tehc,,71.33,5,100.0
P1180,Bravo,38,3,Tactics,66.98,89.48,4,99.6
P1181,alphaa,41,8,Tactics,68.43,84.94,9,83.95
P1182,Charlie,23,14,Combat,84.62,69.21,10,84.85
P1183,Bravo,21,11,Tactics,84.28,57.56,8,91.61
P1184,Bravo,39,12,Tactics,77.1,67.53,8,95.97
P1185,Echo,27,14,Tech,71.4,83.33,6,95.88
P1186,Bravo,21,15,Tech,63.04,69.4,6,100.0
P1187,Bravo,26,12,Tehc,85.75,89.35,8,95.39
P1188,Charlie,20,4,Leadership,72.91,57.24,10,79.65
P1189,Bravo,35,13,Tehc,85.78,94.58,10,100.0
P1190,Charlie,21,11,Combat,81.34,77.13,6,83.46
P1191,Delta,40,8,Leadership,54.06,64.09,4,86.71
P1192,Alpha,24,16,Tactics,82.34,55.1,8,100.0
P1193,Alpha,33,19,Combat,84.56,67.45,10,86.37
P1194,Delta,23,17,Combat,66.57,67.97,4,96.18
P1195,Charlie,34,15,Combat,83.82,87.21,7,87.57
P1196,Bravo,37,3,Leadership,69.72,81.57,1,85.33
P1197,Charlie,23,6,Leadership,61.99,62.7,7,91.13
P1198,Bravo,41,14,Tech,65.02,74.53,4,92.83
P1199,Alpha,22,14,Tech,76.22,57.4,6,82.62
P1200,Charlie,23,11,Tech,76.02,53.03,1,88.65
P1201,Bravo,35,7,Tactics,76.11,87.4,8,86.98
P1202,Delta,22,5,Combat,61.67,100.0,9,85.14
P1203,Bravo,21,11,Leadership,91.29,72.65,1,87.06
P1204,Charlie,24,2,Tech,63.76,79.75,10,71.1
P1205,Echo,29,3,Tactics,64.9,,4,83.61
P1206,Alpha,27,15,Tactics,72.08,46.55,10,92.94
P1207,Bravo,29,3,Tech,90.88,74.48,9,83.99
P1208,Delta,31,10,Tech,72.42,59.06,9,100.0
P1209,Echo,29,6,Combat,85.8,60.35,3,98.24
P1210,Charlie,20,8,Leadership,77.98,81.41,5,100.0
P1211,Delta,35,1,Tactics,64.32,73.98,5,89.64
P1212,Charlie,42,5,Tactics,86.87,100.0,9,85.98
P1213,Alpha,25,18,Tech,80.59,74.29,9,86.57
P1214,Alpha,21,3,Leadership,75.7,85.63,5,85.21
P1215,Delta,42,16,Tech,,93.74,3,94.11
P1216,Bravo,43,15,Tech,77.83,66.12,1,85.93
P1217,Bravo,40,3,Tech,82.78,62.45,4,100.0
P1218,Charlie,32,15,Combat,79.1,66.38,7,86.97
P1219,Alpha,38,14,Leadership,63.61,64.34,8,89.87
P1220,Delta,38,14,Leadership,76.96,74.75,9,98.03
P1221,Delta,43,6,Leadership,95.57,44.5,5,94.23
P1222,Alpha,23,8,Tehc,71.43,81.92,6,89.16
P1223,alphaa,37,5,Tactics,73.31,57.88,1,84.28
P1224,Echo,21,1,Combat,63.8,68.35,3,88.9
P1225,Alpha,23,7,Tech,84.53,64.56,3,85.98
P1226,Alpha,20,8,Tech,68.77,72.92,9,96.45
P1227,alphaa,22,8,Combat,77.06,,4,78.4
P1228,Alpha,27,11,Leadership,70.15,81.63,7,92.55
P1229,alphaa,24,17,Tactics,88.4,56.71,3,92.15
P1230,Bravo,33,19,Tech,82.58,68.69,1,100.0
P1231,alphaa,20,13,Tech,67.91,80.32,7,93.36
P1232,Delta,37,2,Combat,85.76,78.89,4,82.89
P1233,Echo,34,9,Tech,71.93,72.53,9,93.54
P1234,Alpha,38,9,Combat,84.53,74.31,4,100.0
P1235,Delta,28,12,Leadership,82.62,68.07,10,74.95
P1236,Echo,43,6,Tech,79.71,82.68,2,84.09
P1237,Alpha,22,3,Tehc,73.32,42.71,10,84.45
P1238,Echo,21,5,Combat,,71.94,1,82.28
P1239,Delta,30,17,Tactics,70.7,88.33,8,90.89
P1240,Echo,24,3,Leadership,73.98,76.14,6,88.81
P1241,Charlie,29,5,Tech,82.36,63.79,5,98.57
P1242,Delta,32,15,Combat,74.82,75.96,2,85.87
P1243,Echo,36,14,Leadership,68.23,53.28,7,95.97
P1244,Bravo,32,15,Tactics,69.78,78.47,1,82.78
P1245,Charlie,27,5,Combat,85.61,100.0,3,77.98
P1246,Charlie,34,12,Leadership,68.21,71.14,8,94.97
P1247,Alpha,31,6,Combat,71.3,43.4,6,100.0
P1248,Alpha,44,19,Leadership,85.56,73.35,2,100.0
P1249,Echo,27,13,Leadership,63.31,87.49,8,88.36
P1250,Bravo,33,16,Tactics,97.4,,5,99.16
P1251,Delta,38,18,Tehc,,84.3,7,94.1
P1252,Charlie,34,5,Tech,79.67,77.29,1,92.81
P1253,Bravo,25,11,Leadership,,58.11,2,87.54
P1254,Bravo,36,2,Tech,81.59,84.06,2,88.71
P1255,Charlie,33,7,Tehc,67.9,46.89,9,88.94
P1256,Charlie,44,17,Leadership,81.78,76.09,10,100.0
P1257,Echo,39,15,Leadership,87.39,85.9,7,100.0
P1258,Delta,43,2,Leadership,65.36,84.04,1,84.99
P1259,Echo,28,6,Combat,75.15,82.38,9,83.06
P1260,alphaa,23,18,Tech,73.4,84.17,1,94.83
P1261,Charlie,44,10,Combat,73.3,63.78,5,85.13
P1262,Bravo,28,19,Combat,74.96,55.45,7,67.34
P1263,Delta,26,9,Combat,75.17,73.3,4,79.39
P1264,Charlie,43,1,Leadership,81.48,81.34,2,95.38
P1265,Bravo,27,1,Combat,73.36,65.07,3,94.83
P1266,Bravo,34,10,Leadership,72.71,55.08,9,83.13
P1267,Delta,25,1,Tactics,86.95,,1,84.21
P1268,Echo,34,9,Combat,71.46,61.4,5,99.95
P1269,Charlie,40,4,Tech,,85.42,3,91.05
P1270,Bravo,27,13,Tactics,58.99,57.57,3,92.5
P1271,Echo,23,8,Tech,76.5,70.31,6,91.85
P1272,Alpha,44,10,Combat,63.63,55.91,5,97.23
P1273,Alpha,25,15,Tehc,75.61,72.48,10,86.94
P1274,Bravo,41,1,Combat,75.38,78.77,10,85.76
P1275,Charlie,32,3,Tactics,77.25,66.99,1,80.14
P1276,Bravo,31,6,Tactics,77.86,57.72,8,77.22
P1277,Delta,25,4,Tech,79.62,78.03,2,96.08
P1278,Charlie,27,13,Combat,79.08,77.93,4,95.76
P1279,Charlie,41,12,Tehc,62.07,79.28,10,88.34
P1280,Delta,42,8,Leadership,,81.41,9,97.07
P1281,Echo,21,19,Combat,72.82,100.0,7,78.29
P1282,Delta,36,7,Combat,56.33,85.11,2,75.28
P1283,Bravo,42,10,Tactics,,77.31,5,95.26
P1284,Charlie,23,5,Leadership,79.92,95.53,5,100.0
P1285,Delta,27,5,Leadership,76.04,91.17,10,86.76
P1286,Delta,35,19,Tactics,70.7,71.3,9,78.75
P1287,Delta,23,2,Tech,65.69,60.21,4,99.71
P1288,Delta,42,13,Tehc,81.9,31.62,5,83.07
P1289,Bravo,41,15,Tech,81.46,61.09,3,82.27
P1290,Echo,37,5,Tech,83.64,78.69,9,96.27
P1291,Bravo,40,8,Combat,72.48,61.02,10,91.83
P1292,Alpha,30,10,Tactics,52.59,65.59,4,82.6
P1293,Echo,36,9,Tech,78.3,51.91,7,88.55
P1294,Bravo,44,17,Tech,71.32,63.1,4,98.47
P1295,Delta,34,4,Tactics,,80.43,2,96.79
P1296,Charlie,20,14,Leadership,75.54,100.0,6,94.01
P1297,Delta,32,16,Leadership,75.5,73.65,10,100.0
P1298,Alpha,41,19,Tech,67.18,,8,90.22
P1299,Echo,40,11,Leadership,76.02,64.5,6,79.76
